answer1PictureName;answer2PictureName;answer3PictureName;answer4PictureName;rightAnswer;word;audio
13_Klinge/Gabel.jpg;13_Klinge/Klinge.jpg;13_Klinge/Klinke.jpg;13_Klinge/Kamera.jpg;1;Klinge;File_154_Wortschatz_Beispiel_13.mp3
14_verwandt/ungeduldig.jpg;14_verwandt/verwandt.jpg;14_verwandt/Wand.jpg;14_verwandt/befreundet.jpg;1;verwandt;File_155_Wortschatz_Beispiel_14.mp3
15_Transportmittel/Spiele.jpg;15_Transportmittel/Sportgeraete.jpg;15_Transportmittel/Strassen.jpg;15_Transportmittel/Transportmittel.jpg;3;Transportmittel;File_156_Wortschatz_Beispiel_15_NEU.mp3
16_ausserhalb/ausserhalb.jpg;16_ausserhalb/nach.jpg;16_ausserhalb/Pause.jpg;16_ausserhalb/innerhalb.jpg;0;außerhalb;File_157_Wortschatz_Beispiel_16.mp3
17_Strickleiter/stricken.jpg;17_Strickleiter/Leiter.jpg;17_Strickleiter/Strickleiter.jpg;17_Strickleiter/Besenstil.jpg;2;Strickleiter;File_158_Wortschatz_Beispiel_17_NEU.mp3
18_giessen/fliessen.jpg;18_giessen/saeen.jpg;18_giessen/entspannt.jpg;18_giessen/giessen.jpg;3;gießen;File_159_Wortschatz_Beispiel_18.mp3
19_Projektor/Inspektor.jpg;19_Projektor/Uhr.jpg;19_Projektor/Projektor.jpg;19_Projektor/Fernseher.jpg;2;Projektor;File_160_Wortschatz_Beispiel_19.mp3
20_nass/Spass.jpg;20_nass/nass.jpg;20_nass/kalt.jpg;20_nass/Durst.jpg;1;nass;File_161_Wortschatz_Beispiel_20.mp3
21_Technik/Technik.jpg;21_Technik/Taschenmesser.jpg;21_Technik/Gartengeraete.jpg;21_Technik/Musik.jpg;0;Technik;File_162_Wortschatz_Beispiel_21.mp3
22_gegenueber/waehrend.jpg;22_gegenueber/gegenueber.jpg;22_gegenueber/drueber.jpg;22_gegenueber/auf.jpg;1;gegenüber;File_163_Wortschatz_Beispiel_22.mp3
23_Blumentopf/Blumentopf.jpg;23_Blumentopf/Blusenknopf.jpg;23_Blumentopf/Blumenstrauss.jpg;23_Blumentopf/Nest.jpg;0;Blumentopf;File_164_Wortschatz_Beispiel_23.mp3
24_ritzen/sitzen.jpg;24_ritzen/ritzen.jpg;24_ritzen/schneiden.jpg;24_ritzen/Beispiel.jpg;1;ritzen;File_165_Wortschatz_Beispiel_24.mp3
25_Welle/Wasserpfuetze.jpg;25_Welle/Welle.jpg;25_Welle/Stroh.jpg;25_Welle/Wolle.jpg;1;Welle;File_166_Wortschatz_Beispiel_25.mp3
26_kraeftig/kraeftig.jpg;26_kraeftig/faul.jpg;26_kraeftig/mutig.jpg;26_kraeftig/krank.jpg;0;kräftig;File_167_Wortschatz_Beispiel_26.mp3
27_Insekten/sekt.jpg;27_Insekten/Waldtiere.jpg;27_Insekten/Voegel.jpg;27_Insekten/Insekten.jpg;3;Insekten;File_168_Wortschatz_Beispiel_27.mp3
28_durch/drunter.jpg;28_durch/von.jpg;28_durch/durch.jpg;28_durch/Tuch.jpg;2;durch;File_169_Wortschatz_Beispiel_28.mp3
29_Laubhaufen/Staubhaufen.jpg;29_Laubhaufen/Sternenhimmel.jpg;29_Laubhaufen/Rechen.jpg;29_Laubhaufen/Laubhaufen.jpg;3;Laubhaufen;File_170_Wortschatz_Beispiel_29.mp3
30_loeschen/brennen.jpg;30_loeschen/loeschen.jpg;30_loeschen/loesen.jpg;30_loeschen/packen.jpg;1;löschen;File_171_Wortschatz_Beispiel_30.mp3
